trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.6, 'e': 0.2149999999999993}",20,0,-18.857402050111244,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
158,False,"{'a': 0.6, 'e': 0.2099999999999993}",20,4,-40.45861774005888,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
159,False,"{'a': 0.6, 'e': 0.2049999999999993}",25,10,26.913746498707567,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.1999999999999993}",20,3,2.0515075579777777,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.6, 'e': 0.19499999999999929}",25,5,33.715287664030136,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.6, 'e': 0.18999999999999928}",20,6,-16.490686903509083,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.6, 'e': 0.18499999999999928}",25,0,34.39922762118146,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.6, 'e': 0.17999999999999927}",20,6,15.050993041465661,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.17499999999999927}",20,0,16.32235540667541,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
166,False,"{'a': 0.6, 'e': 0.16999999999999926}",30,17,17.849591448437145,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.16499999999999926}",35,20,28.35457828897155,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.6, 'e': 0.15999999999999925}",20,0,27.21258484268425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.6, 'e': 0.15499999999999925}",20,0,-10.198408973757969,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
170,False,"{'a': 0.6, 'e': 0.14999999999999925}",30,10,5.992908580345242,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.6, 'e': 0.14499999999999924}",25,13,-20.88208758602092,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.6, 'e': 0.13999999999999924}",25,3,26.705664509608994,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.6, 'e': 0.13499999999999923}",25,13,24.902484816490364,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.12999999999999923}",20,0,13.483642310162924,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
